,Unnamed: 0,Method,$\epsilon$,RMSE
352,52,ABC-RS (ours),$\epsilon$=10%,0.6644734817716276
353,53,ABC-RS (ours),$\epsilon$=10%,0.4166674789982135
354,54,ABC-RS (ours),$\epsilon$=10%,0.5546451164408724
355,55,ABC-RS (ours),$\epsilon$=10%,1.5737666429700086
356,56,ABC-RS (ours),$\epsilon$=10%,0.5083645525886086
357,57,ABC-RS (ours),$\epsilon$=10%,0.6738714920467266
358,58,ABC-RS (ours),$\epsilon$=10%,0.4549208723139322
359,59,ABC-RS (ours),$\epsilon$=10%,0.6764351476106397
360,60,ABC-RS (ours),$\epsilon$=10%,0.5077559210071582
361,61,ABC-RS (ours),$\epsilon$=10%,0.7168289778646241
362,62,ABC-RS (ours),$\epsilon$=10%,0.7451015318738388
363,63,ABC-RS (ours),$\epsilon$=10%,0.6013124116929395
364,64,ABC-RS (ours),$\epsilon$=10%,0.6241285492022111
365,65,ABC-RS (ours),$\epsilon$=10%,0.5341770899675214
366,66,ABC-RS (ours),$\epsilon$=10%,0.6271771327362503
367,67,ABC-RS (ours),$\epsilon$=10%,0.8300247224493811
368,68,ABC-RS (ours),$\epsilon$=10%,0.6506167096268269
369,69,ABC-RS (ours),$\epsilon$=10%,0.5992985354436169
370,70,ABC-RS (ours),$\epsilon$=10%,0.4786372918542931
371,71,ABC-RS (ours),$\epsilon$=10%,0.5985079061030925
372,72,ABC-RS (ours),$\epsilon$=10%,0.4291683891524084
373,73,ABC-RS (ours),$\epsilon$=10%,0.6236643946839738
374,74,ABC-RS (ours),$\epsilon$=10%,0.6744424195502925
375,75,ABC-RS (ours),$\epsilon$=10%,0.4448949369238146
376,76,ABC-RS (ours),$\epsilon$=10%,0.5137721838132591
377,77,ABC-RS (ours),$\epsilon$=10%,0.5491339125216564
378,78,ABC-RS (ours),$\epsilon$=10%,0.6816336693491067
379,79,ABC-RS (ours),$\epsilon$=10%,0.5264866958977703
380,80,ABC-RS (ours),$\epsilon$=10%,0.5285281453966768
381,81,ABC-RS (ours),$\epsilon$=10%,0.7804599330541735
382,82,ABC-RS (ours),$\epsilon$=10%,0.6165536416691008
383,83,ABC-RS (ours),$\epsilon$=10%,0.6355893749840756
384,84,ABC-RS (ours),$\epsilon$=10%,0.549302451255161
385,85,ABC-RS (ours),$\epsilon$=10%,0.2857011172658678
386,86,ABC-RS (ours),$\epsilon$=10%,0.5761277436887142
387,87,ABC-RS (ours),$\epsilon$=10%,0.443333736641857
388,88,ABC-RS (ours),$\epsilon$=10%,0.4579007886623374
389,89,ABC-RS (ours),$\epsilon$=10%,0.5727836561661322
390,90,ABC-RS (ours),$\epsilon$=10%,0.6327274078934635
391,91,ABC-RS (ours),$\epsilon$=10%,0.7179932509693687
392,92,ABC-RS (ours),$\epsilon$=10%,0.6106718070131154
393,93,ABC-RS (ours),$\epsilon$=10%,0.6839153903541091
394,94,ABC-RS (ours),$\epsilon$=10%,0.5788782403279247
395,95,ABC-RS (ours),$\epsilon$=10%,0.6385921614851012
396,96,ABC-RS (ours),$\epsilon$=10%,0.4872832598109749
397,97,ABC-RS (ours),$\epsilon$=10%,0.6344702985341754
398,98,ABC-RS (ours),$\epsilon$=10%,1.0352029576995472
399,99,ABC-RS (ours),$\epsilon$=10%,0.6290370841008089
400,0,ABC,$\epsilon$=20%,6.277961523607147
401,1,ABC,$\epsilon$=20%,7.719205430317169
402,2,ABC,$\epsilon$=20%,7.892383636791146
403,3,ABC,$\epsilon$=20%,2.7621314248554514
404,4,ABC,$\epsilon$=20%,6.709362378485674
405,5,ABC,$\epsilon$=20%,6.64400375922393
406,6,ABC,$\epsilon$=20%,5.581506035087645
407,7,ABC,$\epsilon$=20%,6.305933277147377
408,8,ABC,$\epsilon$=20%,6.260623147517607
409,9,ABC,$\epsilon$=20%,1.8881015035514412
410,10,ABC,$\epsilon$=20%,2.1489408875622584
411,11,ABC,$\epsilon$=20%,6.103150070344085
412,12,ABC,$\epsilon$=20%,1.3852709596943835
413,13,ABC,$\epsilon$=20%,7.813922100589462
414,14,ABC,$\epsilon$=20%,6.258788391613301
415,15,ABC,$\epsilon$=20%,6.514833248540097
416,16,ABC,$\epsilon$=20%,7.894476940043483
417,17,ABC,$\epsilon$=20%,8.836047174152263
418,18,ABC,$\epsilon$=20%,2.4566006165182106
419,19,ABC,$\epsilon$=20%,7.322104894335006
420,20,ABC,$\epsilon$=20%,7.134792461494856
421,21,ABC,$\epsilon$=20%,7.688940018436291
422,22,ABC,$\epsilon$=20%,6.232826003234156
423,23,ABC,$\epsilon$=20%,6.623598742522634
424,24,ABC,$\epsilon$=20%,2.03521867817791
425,25,ABC,$\epsilon$=20%,4.4696287764952425
426,26,ABC,$\epsilon$=20%,7.547407320139722
427,27,ABC,$\epsilon$=20%,2.141983883441008
428,28,ABC,$\epsilon$=20%,2.4209662085865062
429,29,ABC,$\epsilon$=20%,8.04278122604227
430,30,ABC,$\epsilon$=20%,6.969430453019133
431,31,ABC,$\epsilon$=20%,6.4961711919173775
432,32,ABC,$\epsilon$=20%,3.029982677312908
433,33,ABC,$\epsilon$=20%,7.601105557305478
434,34,ABC,$\epsilon$=20%,2.606513944709844
435,35,ABC,$\epsilon$=20%,6.558540301991497
436,36,ABC,$\epsilon$=20%,8.1099176705747
437,37,ABC,$\epsilon$=20%,6.468829204159772
438,38,ABC,$\epsilon$=20%,5.140278640320365
439,39,ABC,$\epsilon$=20%,7.031457029635623
440,40,ABC,$\epsilon$=20%,5.551161653588308
441,41,ABC,$\epsilon$=20%,6.659473285625422
442,42,ABC,$\epsilon$=20%,7.244660658185266
443,43,ABC,$\epsilon$=20%,6.862609118628477
444,44,ABC,$\epsilon$=20%,5.218620115335287
445,45,ABC,$\epsilon$=20%,7.418597658191539
446,46,ABC,$\epsilon$=20%,6.477849767142439
447,47,ABC,$\epsilon$=20%,5.662942621539509
448,48,ABC,$\epsilon$=20%,6.800305615489728
449,49,ABC,$\epsilon$=20%,6.945991790579164
450,50,ABC,$\epsilon$=20%,6.940699235388316
451,51,ABC,$\epsilon$=20%,1.156283374125813
452,52,ABC,$\epsilon$=20%,8.09534489956032
453,53,ABC,$\epsilon$=20%,7.34637418298248
454,54,ABC,$\epsilon$=20%,3.0345297146991213
